[2017-04-27 08:57:44] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Only variables should be passed by reference',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/plugins/miwoftp1/admin/quixplorer/_include/fun_extra.php',   'line' => 28, ) [] []
[2017-04-27 08:57:44] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Only variables should be passed by reference',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/plugins/miwoftp1/admin/quixplorer/_include/fun_extra.php',   'line' => 28, ) [] []
[2017-04-27 08:57:44] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Only variables should be passed by reference',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/plugins/miwoftp1/admin/quixplorer/_include/fun_extra.php',   'line' => 28, ) [] []
[2017-04-27 08:57:44] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Only variables should be passed by reference',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/plugins/miwoftp1/admin/quixplorer/_include/fun_extra.php',   'line' => 28, ) [] []
[2017-04-27 08:57:44] php_system.INFO: E_STRICT: array (   'type' => 2048,   'message' => 'Only variables should be passed by reference',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/plugins/miwoftp1/admin/quixplorer/_include/fun_extra.php',   'line' => 28, ) [] []
[2017-04-27 08:57:51] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:00:42] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:03:21] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:04:48] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:05:54] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 09:06:11] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:08:17] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:10:23] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:13:17] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:16:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:18:20] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:20:32] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:22:27] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 09:24:58] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
